0.3038181365	0.4862242043	0.0001682880	0.0000061120	0.4863924980
0.3157845140	0.4997699559	0.0001711360	0.0000061120	0.4999410808
0.3105116487	0.4918889403	0.0001669760	0.0000061120	0.4920559227
0.2986328304	0.4802867174	0.0001674880	0.0000061120	0.4804542065
0.3156925738	0.4968767166	0.0001683520	0.0000061440	0.4970450699
0.3014976084	0.4831585288	0.0001672000	0.0000061120	0.4833257198
0.3012591600	0.4825831950	0.0001675520	0.0000060800	0.4827507436
0.3012315035	0.4828480184	0.0001668800	0.0000060800	0.4830149114
0.3006971180	0.4822257459	0.0001672320	0.0000061440	0.4823929667
0.3030169308	0.4880849123	0.0001694080	0.0000060800	0.4882543087
0.3243464530	0.5096515417	0.0001689920	0.0000061120	0.5098205209
0.3181082904	0.5024960637	0.0001727040	0.0000061760	0.5026687384
0.3103467822	0.4947716892	0.0001698240	0.0000062400	0.4949415028
0.3170176446	0.4992863834	0.0001690560	0.0000061120	0.4994554520
0.3088664114	0.4945498109	0.0001698560	0.0000061120	0.4947196543
0.3167030513	0.5062057972	0.0001731520	0.0000061120	0.5063789487
0.3234286308	0.5082015991	0.0001765760	0.0000061440	0.5083781481
0.3081743717	0.4923788309	0.0001725760	0.0000061120	0.4925514162
0.3047276139	0.4870258272	0.0001675520	0.0000061120	0.4871933758
0.3118581474	0.4936465323	0.0001670080	0.0000060800	0.4938135445
0.2870272696	0.4689072967	0.0001672000	0.0000061120	0.4690744877
0.3110508919	0.4952188730	0.0001766080	0.0000060800	0.4953954816
0.3230658770	0.5046539903	0.0001697920	0.0000061120	0.5048238039
0.3162856996	0.5017724037	0.0001801920	0.0000061120	0.5019525886
0.3002145886	0.4837113619	0.0001667840	0.0000060800	0.4838781357
0.3120134473	0.4970199764	0.0001701440	0.0000061120	0.4971901178
0.3102493584	0.4930555820	0.0001690880	0.0000061120	0.4932246804
0.3032975495	0.4847954810	0.0001669440	0.0000061440	0.4849624336
0.3057789803	0.4881122410	0.0001667520	0.0000061120	0.4882789850
0.3030783236	0.4847112000	0.0001671040	0.0000062400	0.4848783016
