
59.9671707153	61.607727
60.0154953003	61.660122
59.9538574219	61.593565
60.1812820435	61.824684
59.8982849121	61.542317
59.9741172791	61.616209
59.8910942078	61.526966
60.0806350708	61.723387
60.0140380859	61.688847
59.9498596191	61.599558
60.0569839478	61.749251
60.0530738831	61.698122
60.0518379211	61.689494
60.0017585754	61.659310
60.0798568726	61.722439
59.9923324585	61.630573
60.0293922424	61.664145
59.9784202576	61.625322
59.9716835022	61.609399
59.9796257019	61.615853
59.9883499146	61.625737
59.9661827087	61.606433
59.9650840759	61.606007
59.9035186768	61.612639
60.0207290649	61.660327
59.8826713562	61.523505
59.9781150818	61.614629
59.9956207275	61.632372
60.1264877319	61.769804
60.0717315674	61.713645
