Elementos: 134, work_group_size: 2, Grupos:67
Elementos: 135, work_group_size: 15, Grupos:9
Elementos: 136, work_group_size: 17, Grupos:8
Elementos: 137, work_group_size: 1, Grupos:137
Elementos: 138, work_group_size: 6, Grupos:23
Elementos: 139, work_group_size: 1, Grupos:139
Elementos: 140, work_group_size: 4, Grupos:35
Elementos: 141, work_group_size: 3, Grupos:47
Elementos: 142, work_group_size: 2, Grupos:71
Elementos: 143, work_group_size: 13, Grupos:11
Elementos: 144, work_group_size: 18, Grupos:8
Elementos: 145, work_group_size: 5, Grupos:29
Elementos: 146, work_group_size: 2, Grupos:73
Elementos: 147, work_group_size: 7, Grupos:21
Elementos: 148, work_group_size: 4, Grupos:37
Elementos: 149, work_group_size: 1, Grupos:149
Elementos: 150, work_group_size: 15, Grupos:10
Elementos: 151, work_group_size: 1, Grupos:151
Elementos: 152, work_group_size: 8, Grupos:19
Elementos: 153, work_group_size: 17, Grupos:9
Elementos: 154, work_group_size: 14, Grupos:11
Elementos: 155, work_group_size: 5, Grupos:31
Elementos: 156, work_group_size: 4, Grupos:39
Elementos: 157, work_group_size: 1, Grupos:157
Elementos: 158, work_group_size: 2, Grupos:79
Elementos: 159, work_group_size: 1, Grupos:159
Elementos: 160, work_group_size: 20, Grupos:8
Elementos: 161, work_group_size: 7, Grupos:23
Elementos: 162, work_group_size: 18, Grupos:9
Elementos: 163, work_group_size: 1, Grupos:163
Elementos: 164, work_group_size: 4, Grupos:41
Elementos: 165, work_group_size: 15, Grupos:11
Elementos: 166, work_group_size: 2, Grupos:83
Elementos: 167, work_group_size: 1, Grupos:167
Elementos: 168, work_group_size: 21, Grupos:8
Elementos: 169, work_group_size: 13, Grupos:13
Elementos: 170, work_group_size: 17, Grupos:10
Elementos: 171, work_group_size: 19, Grupos:9
Elementos: 172, work_group_size: 4, Grupos:43
Elementos: 173, work_group_size: 1, Grupos:173
Elementos: 174, work_group_size: 6, Grupos:29
Elementos: 175, work_group_size: 7, Grupos:25
Elementos: 176, work_group_size: 16, Grupos:11
Elementos: 177, work_group_size: 3, Grupos:59
Elementos: 178, work_group_size: 2, Grupos:89
Elementos: 179, work_group_size: 1, Grupos:179
Elementos: 180, work_group_size: 4, Grupos:45
Elementos: 181, work_group_size: 1, Grupos:181
Elementos: 182, work_group_size: 14, Grupos:13
Elementos: 183, work_group_size: 1, Grupos:183
Elementos: 184, work_group_size: 8, Grupos:23
Elementos: 185, work_group_size: 5, Grupos:37
Elementos: 186, work_group_size: 6, Grupos:31
Elementos: 187, work_group_size: 17, Grupos:11
Elementos: 188, work_group_size: 4, Grupos:47
Elementos: 189, work_group_size: 21, Grupos:9
Elementos: 190, work_group_size: 19, Grupos:10
Elementos: 191, work_group_size: 1, Grupos:191
Elementos: 192, work_group_size: 24, Grupos:8
Elementos: 193, work_group_size: 1, Grupos:193
Elementos: 194, work_group_size: 2, Grupos:97
